time,AL
1990-01-01,1528
1990-02-01,1454
1990-03-01,1567
1990-04-01,1526
1990-05-01,1527
1990-06-01,1566
1990-07-01,1571
1990-08-01,1782
1990-09-01,2067
1990-10-01,1946
1990-11-01,1618
1990-12-01,1522
1991-01-01,1515
1991-02-01,1505
1991-03-01,1496
1991-04-01,1392
1991-05-01,1299.949951
1991-06-01,1283.550049
1991-07-01,1297.546631
1991-08-01,1259.693359
1991-09-01,1212.095215
1991-10-01,1152.95459
1991-11-01,1134.925049
1991-12-01,1099.526367
1992-01-01,1181.227295
1992-02-01,1270.75
1992-03-01,1282.022705
1992-04-01,1317.125
1992-05-01,1306.710693
1992-06-01,1275.272705
1992-07-01,1314.3479
1992-08-01,1305.550049
1992-09-01,1270.214355
1992-10-01,1180.841064
1992-11-01,1162.214355
1992-12-01,1209.023804
1993-01-01,1208.099976
1993-02-01,1203.150024
1993-03-01,1150.478271
1993-04-01,1110.275024
1993-05-01,1125.421021
1993-06-01,1168.090942
1993-07-01,1203.181763
1993-08-01,1172.761963
1993-09-01,1116.909058
1993-10-01,1089.428589
1993-11-01,1040.022705
1993-12-01,1091.349976
1994-01-01,1170
1994-02-01,1270.525024
1994-03-01,1287.695679
1994-04-01,1277.289429
1994-05-01,1321.047607
1994-06-01,1402.363647
1994-07-01,1491.952393
1994-08-01,1457.068237
1994-09-01,1571.090942
1994-10-01,1694.261963
1994-11-01,1885.886353
1994-12-01,1878.375
1995-01-01,2059.357178
1995-02-01,1905.449951
1995-03-01,1799.978271
1995-04-01,1849.444458
1995-05-01,1765.476196
1995-06-01,1775.79541
1995-07-01,1867.275024
1995-08-01,1890.04541
1995-09-01,1761.724976
1995-10-01,1671.95459
1995-11-01,1655.928589
1995-12-01,1657.815796
1996-01-01,1584.476196
1996-02-01,1594.571411
1996-03-01,1614.857178
1996-04-01,1587.400024
1996-05-01,1593.857178
1996-06-01,1485.75
1996-07-01,1460.021729
1996-08-01,1466.785767
1996-09-01,1405.761963
1996-10-01,1336.021729
1996-11-01,1451.047607
1996-12-01,1500.976196
1997-01-01,1575.136353
1997-02-01,1582.052979
1997-03-01,1631.184204
1997-04-01,1561.113647
1997-05-01,1625.449951
1997-06-01,1567.19043
1997-07-01,1591.586914
1997-08-01,1710.025024
1997-09-01,1611.619019
1997-10-01,1607.32605
1997-11-01,1598.324951
1997-12-01,1530.523804
1998-01-01,1485.474976
1998-02-01,1465.175049
1998-03-01,1438.318237
1998-04-01,1417.550049
1998-05-01,1364.315796
1998-06-01,1305.523804
1998-07-01,1312.666626
1998-08-01,1310.550049
1998-09-01,1341.886353
1998-10-01,1303.70459
1998-11-01,1295.300049
1998-12-01,1250.394775
1999-01-01,1219.400024
1999-02-01,1186.475
1999-03-01,1179.863636
1999-04-01,1277.85
1999-05-01,1323.131579
1999-06-01,1315.522727
1999-07-01,1403.363636
1999-08-01,1421.690476
1999-09-01,1492.068182
1999-10-01,1473.333333
1999-11-01,1472.431818
1999-12-01,1554.735294
2000-01-01,1679.85
2000-02-01,1679.425
2000-03-01,1579.64
2000-04-01,1458.745
2000-05-01,1468.065217
2000-06-01,1509.372727
2000-07-01,1564.37619
2000-08-01,1530.334783
2000-09-01,1602.309524
2000-10-01,1501.245455
2000-11-01,1475.554545
2000-12-01,1569.055
2001-01-01,1619.877273
2001-02-01,1607.03
2001-03-01,1512.172727
2001-04-01,1499.483333
2001-05-01,1542.390476
2001-06-01,1470.833333
2001-07-01,1418.622727
2001-08-01,1377.845455
2001-09-01,1345.995
2001-10-01,1283.530435
2001-11-01,1334.454545
2001-12-01,1348.723529
2002-01-01,1371.363636
2002-02-01,1371.08
2002-03-01,1404.985
2002-04-01,1370.385714
2002-05-01,1344.427273
2002-06-01,1356.933333
2002-07-01,1337.865217
2002-08-01,1293.357143
2002-09-01,1301.7
2002-10-01,1311.46087
2002-11-01,1373.266667
2002-12-01,1375.861905
2003-01-01,1379.268182
2003-02-01,1421.535
2003-03-01,1386.52381
2003-04-01,1334.29
2003-05-01,1400.3975
2003-06-01,1410.516667
2003-07-01,1440.880435
2003-08-01,1457.225
2003-09-01,1416.577273
2003-10-01,1477.223913
2003-11-01,1511.585
2003-12-01,1557.778571
2004-01-01,1608.892857
2004-02-01,1685.225
2004-03-01,1657.354348
2004-04-01,1731.68
2004-05-01,1625.25
