time,USD_AUD,USD_EUR,USD_GBP,USD_KRW,USD_SEK,USD_BRL,USD_CNY,USD_JPY,USD_MXN,USD_INR,USD_THB,USD_CAD
1971-01-04,0.898714838,,0.417745843,,5.1643,,,357.73,,,,1.0109
1971-01-05,0.898311175,,0.417553969,,5.1628,,,357.81,,,,1.0102
1971-01-06,0.897666068,,0.417240372,,5.1614,,,357.86,,,,1.0106
1971-01-07,0.897827258,,0.41731002,,5.1649,,,357.87,,,,1.0148
1971-01-08,0.89895721,,0.417153346,,5.1631,,,357.82,,,,1.0154
1971-01-11,0.896700143,,0.416805602,,5.1642,,,357.95,,,,1.0159
1971-01-12,0.89637863,,0.416649306,,5.1643,,,358.06,,,,1.013
1971-01-13,0.895656068,,0.416302402,,5.1615,,,358.44,,,,1.0122
1971-01-14,0.893734918,,0.415437664,,5.1625,,,358.4,,,,1.0133
1971-01-15,0.894294402,,0.415679428,,5.164,,,358.4,,,,1.0135
1971-01-18,0.894534395,,0.415765841,,5.1651,,,358.29,,,,1.0126
1971-01-19,0.893415528,,0.415265147,,5.1657,,,358.35,,,,1.0111
1971-01-20,0.893415528,,0.415282392,,5.1636,,,358.4,,,,1.0115
1971-01-21,0.89301661,,0.415075544,,5.1648,,,358.27,,,,1.0109
1971-01-22,0.892538379,,0.414886114,,5.1626,,,357.9,,,,1.0117
1971-01-25,0.890947969,,0.41413012,,5.1626,,,357.73,,,,1.0111
1971-01-26,0.89047195,,0.413907285,,5.164,,,357.78,,,,1.0107
1971-01-27,0.89047195,,0.413890154,,5.1635,,,357.79,,,,1.0101
1971-01-28,0.890154887,,0.413753155,,5.1653,,,357.83,,,,1.009
1971-01-29,0.88999644,,0.413667577,,5.1675,,,357.72,,,,1.008
1971-02-01,0.889600569,,0.413496527,,5.1778,,,357.67,,,,1.0076
1971-02-02,0.889679715,,0.413547827,,5.1778,,,357.55,,,,1.0087
1971-02-03,0.889600569,,0.413496527,,5.1742,,,357.54,,,,1.0085
1971-02-04,0.890234132,,0.413787396,,5.1733,,,357.51,,,,1.0078
1971-02-05,0.890947969,,0.41413012,,5.1784,,,357.53,,,,1.0078
1971-02-08,0.889679715,,0.413530725,,5.1813,,,357.49,,,,1.0083
1971-02-09,0.890789239,,0.41406153,,5.1811,,,357.5,,,,1.0083
1971-02-10,0.890551251,,0.413924417,,5.1799,,,357.5,,,,1.0086
1971-02-11,0.890551251,,0.413941551,,5.1778,,,357.5,,,,1.0086
1971-02-16,0.889284126,,0.413342702,,5.1752,,,357.53,,,,1.0084
1971-02-17,0.889284126,,0.413342702,,5.1706,,,357.53,,,,1.0087
1971-02-18,0.889363216,,0.413376876,,5.17,,,357.53,,,,1.0076
1971-02-19,0.889363216,,0.413393964,,5.1692,,,357.56,,,,1.0066
1971-02-22,0.889284126,,0.413359788,,5.1664,,,357.6,,,,1.0043
1971-02-23,0.889284126,,0.413342702,,5.161,,,357.55,,,,1.0035
1971-02-24,0.889284126,,0.413342702,,5.1631,,,357.6,,,,1.0075
1971-02-25,0.889838049,,0.413616247,,5.1652,,,357.56,,,,1.0066
1971-02-26,0.89047195,,0.413907285,,5.1652,,,357.56,,,,1.007
1971-03-01,0.890392663,,0.413873024,,5.1631,,,357.63,,,,1.0076
1971-03-02,0.889600569,,0.413496527,,5.1638,,,357.56,,,,1.0071
1971-03-03,0.889284126,,0.413342702,,5.1622,,,357.49,,,,1.0073
1971-03-04,0.889758875,,0.413582034,,5.1631,,,357.45,,,,1.0064
1971-03-05,0.889600569,,0.413513625,,5.1631,,,357.59,,,,1.0047
1971-03-08,0.889284126,,0.413359788,,5.1635,,,357.55,,,,1.003
1971-03-09,0.889363216,,0.413428146,,5.1644,,,357.46,,,,1.004
1971-03-10,0.889284126,,0.413359788,,5.1625,,,357.59,,,,1.0036
1971-03-11,0.88944232,,0.413428146,,5.1636,,,357.56,,,,1.0049
1971-03-12,0.889284126,,0.413342702,,5.1626,,,357.58,,,,1.0056
1971-03-15,0.889284126,,0.413342702,,5.1626,,,357.54,,,,1.0059
1971-03-16,0.889600569,,0.413513625,,5.1623,,,357.49,,,,1.0052
1971-03-17,0.889205051,,0.413325618,,5.1613,,,357.53,,,,1.0056
1971-03-18,0.889363216,,0.413393964,,5.1625,,,357.56,,,,1.0065
1971-03-19,0.889363216,,0.413393964,,5.1621,,,357.56,,,,1.0077
1971-03-22,0.889284126,,0.413342702,,5.1617,,,357.44,,,,1.0079
1971-03-23,0.889284126,,0.413342702,,5.162,,,357.53,,,,1.0078
1971-03-24,0.889205051,,0.413325618,,5.1613,,,357.53,,,,1.0076
1971-03-25,0.889600569,,0.413479429,,5.1626,,,357.47,,,,1.007
1971-03-26,0.88944232,,0.413428146,,5.1637,,,357.47,,,,1.0074
1971-03-29,0.889205051,,0.413325618,,5.1648,,,357.44,,,,1.0075
1971-03-30,0.889679715,,0.413547827,,5.1631,,,357.49,,,,1.0082
1971-03-31,0.890154887,,0.413770275,,5.1624,,,357.42,,,,1.0081
1971-04-01,0.890947969,,0.41413012,,5.1645,,,357.49,,,,1.0076
1971-04-02,0.891821992,,0.414507772,,5.1644,,,357.53,,,,1.0073
1971-04-05,0.89047195,,0.413890154,,5.1646,,,357.5,,,,1.0071
1971-04-06,0.88944232,,0.413411055,,5.1628,,,357.46,,,,1.0062
1971-04-07,0.890154887,,0.413736036,,5.1637,,,357.55,,,,1.0069
1971-04-08,0.890234132,,0.413787396,,5.1653,,,357.55,,,,1.0071
1971-04-09,0.890234132,,0.413787396,,5.165,,,357.5,,,,1.0068
1971-04-12,0.890154887,,0.413753155,,5.1646,,,357.5,,,,1.0069
1971-04-13,0.890234132,,0.413787396,,5.1653,,,357.62,,,,1.0076
1971-04-14,0.889758875,,0.41356493,,5.1644,,,357.58,,,,1.0081
1971-04-15,0.889521437,,0.413445239,,5.1633,,,357.5,,,,1.0075
1971-04-16,0.889521437,,0.413462334,,5.1615,,,357.54,,,,1.0068
1971-04-19,0.889284126,,0.413342702,,5.1619,,,357.49,,,,1.0073
1971-04-20,0.889284126,,0.413342702,,5.1623,,,357.49,,,,1.0075
1971-04-21,0.889205051,,0.413291453,,5.1611,,,357.49,,,,1.0073
1971-04-22,0.889521437,,0.413445239,,5.162,,,357.49,,,,1.0076
1971-04-23,0.88944232,,0.413411055,,5.1612,,,357.49,,,,1.0085
1971-04-26,0.88944232,,0.413428146,,5.1624,,,357.5,,,,1.0092
1971-04-27,0.889363216,,0.413393964,,5.1615,,,357.49,,,,1.0095
1971-04-28,0.889205051,,0.413308535,,5.1615,,,357.5,,,,1.0089
1971-04-29,0.889284126,,0.413359788,,5.1616,,,357.41,,,,1.0086
1971-04-30,0.889284126,,0.413342702,,5.1614,,,357.4,,,,1.0091
1971-05-03,0.88944232,,0.413411055,,5.162,,,357.41,,,,1.0089
1971-05-04,0.889521437,,0.413479429,,5.1613,,,357.4,,,,1.009
1971-05-05,0.889205051,,0.413325618,,5.1673,,,357.4,,,,1.0074
1971-05-06,0.889521437,,0.413479429,,5.1724,,,357.41,,,,1.0074
1971-05-07,0.88944232,,0.413428146,,5.1726,,,357.41,,,,1.0069
1971-05-10,0.88999644,,0.41368469,,5.1683,,,357.14,,,,1.0084
